Model,Thông tin,Price,Price + Twitter
LSTM,MAE,226.8157310267856,141.2736225818452
LSTM,MSE,190913.2879923812,163760.56403942974
LSTM,MAPE,4.1486863602667,3.68978594669516
LSTM,sMAPE,4.056888107627895,3.645041966584907
