lag,batch_size,neurons,layers,split,mean_acc,min_acc,max_acc,diff_acc
2.0,5.0,16.0,1.0,0.85,0.5235294117647058,0.4117647058823529,0.6176470588235294,0.2058823529411765
2.0,20.0,16.0,1.0,0.85,0.5117647058823529,0.3970588235294117,0.5882352941176471,0.1911764705882353
2.0,50.0,16.0,1.0,0.85,0.5088235294117647,0.3676470588235294,0.5882352941176471,0.2205882352941176
2.0,5.0,16.0,2.0,0.85,0.4941176470588235,0.3970588235294117,0.5588235294117647,0.1617647058823529
2.0,20.0,16.0,2.0,0.85,0.5205882352941176,0.3823529411764705,0.6176470588235294,0.2352941176470588
2.0,50.0,16.0,2.0,0.85,0.5147058823529411,0.4117647058823529,0.6029411764705882,0.1911764705882352
4.0,5.0,16.0,1.0,0.85,0.5852941176470587,0.4411764705882353,0.6764705882352942,0.2352941176470588
4.0,20.0,16.0,1.0,0.85,0.5294117647058822,0.4117647058823529,0.6029411764705882,0.1911764705882352
4.0,50.0,16.0,1.0,0.85,0.4911764705882352,0.3823529411764705,0.6176470588235294,0.2352941176470588
4.0,5.0,16.0,2.0,0.85,0.5470588235294118,0.4264705882352941,0.6470588235294118,0.2205882352941177
4.0,20.0,16.0,2.0,0.85,0.5352941176470587,0.3823529411764705,0.6323529411764706,0.25
4.0,50.0,16.0,2.0,0.85,0.4970588235294118,0.3823529411764705,0.5882352941176471,0.2058823529411765
5.0,5.0,16.0,1.0,0.85,0.5382352941176471,0.5,0.6029411764705882,0.1029411764705882
5.0,20.0,16.0,1.0,0.85,0.5499999999999999,0.4705882352941176,0.6029411764705882,0.1323529411764705
5.0,50.0,16.0,1.0,0.85,0.5647058823529412,0.5294117647058824,0.6176470588235294,0.088235294117647
5.0,5.0,16.0,2.0,0.85,0.5411764705882354,0.5,0.5882352941176471,0.088235294117647
5.0,20.0,16.0,2.0,0.85,0.5294117647058824,0.4411764705882353,0.5882352941176471,0.1470588235294118
5.0,50.0,16.0,2.0,0.85,0.511764705882353,0.4705882352941176,0.5588235294117647,0.088235294117647
2.0,5.0,16.0,1.0,0.85,0.5264705882352941,0.38235294117647056,0.6029411764705882,0.22058823529411764
2.0,20.0,16.0,1.0,0.85,0.5,0.38235294117647056,0.5735294117647058,0.19117647058823528
2.0,50.0,16.0,1.0,0.85,0.5323529411764707,0.47058823529411764,0.5882352941176471,0.11764705882352944
2.0,5.0,16.0,2.0,0.85,0.5205882352941177,0.4264705882352941,0.6176470588235294,0.19117647058823534
2.0,20.0,16.0,2.0,0.85,0.5088235294117647,0.4117647058823529,0.6029411764705882,0.19117647058823528
2.0,50.0,16.0,2.0,0.85,0.526470588235294,0.39705882352941174,0.6323529411764706,0.23529411764705882
2.0,5.0,16.0,3.0,0.85,0.5294117647058824,0.4117647058823529,0.5882352941176471,0.17647058823529416
2.0,20.0,16.0,3.0,0.85,0.5058823529411764,0.36764705882352944,0.6323529411764706,0.2647058823529411
2.0,50.0,16.0,3.0,0.85,0.5323529411764706,0.47058823529411764,0.6176470588235294,0.1470588235294118
2.0,5.0,32.0,1.0,0.85,0.5117647058823529,0.38235294117647056,0.5735294117647058,0.19117647058823528
2.0,20.0,32.0,1.0,0.85,0.5264705882352941,0.39705882352941174,0.5882352941176471,0.19117647058823534
2.0,50.0,32.0,1.0,0.85,0.5352941176470589,0.4264705882352941,0.6176470588235294,0.19117647058823534
2.0,5.0,32.0,2.0,0.85,0.5117647058823529,0.47058823529411764,0.5588235294117647,0.08823529411764708
2.0,20.0,32.0,2.0,0.85,0.5117647058823529,0.39705882352941174,0.5882352941176471,0.19117647058823534
2.0,50.0,32.0,2.0,0.85,0.5117647058823529,0.38235294117647056,0.5882352941176471,0.20588235294117652
2.0,5.0,32.0,3.0,0.85,0.5117647058823529,0.4411764705882353,0.5588235294117647,0.11764705882352944
2.0,20.0,32.0,3.0,0.85,0.5176470588235293,0.4264705882352941,0.6617647058823529,0.23529411764705882
2.0,50.0,32.0,3.0,0.85,0.526470588235294,0.4411764705882353,0.6176470588235294,0.17647058823529416
4.0,5.0,16.0,1.0,0.85,0.5588235294117647,0.39705882352941174,0.6470588235294118,0.25000000000000006
4.0,20.0,16.0,1.0,0.85,0.526470588235294,0.39705882352941174,0.6323529411764706,0.23529411764705882
4.0,50.0,16.0,1.0,0.85,0.46176470588235297,0.39705882352941174,0.5294117647058824,0.13235294117647062
4.0,5.0,16.0,2.0,0.85,0.5470588235294118,0.4411764705882353,0.6029411764705882,0.16176470588235292
4.0,20.0,16.0,2.0,0.85,0.5294117647058822,0.39705882352941174,0.5735294117647058,0.1764705882352941
4.0,50.0,16.0,2.0,0.85,0.5058823529411764,0.39705882352941174,0.6323529411764706,0.23529411764705882
4.0,5.0,16.0,3.0,0.85,0.5264705882352941,0.38235294117647056,0.6617647058823529,0.27941176470588236
4.0,20.0,16.0,3.0,0.85,0.5176470588235295,0.38235294117647056,0.5882352941176471,0.20588235294117652
4.0,50.0,16.0,3.0,0.85,0.46764705882352936,0.39705882352941174,0.5147058823529411,0.11764705882352938
